ID,N,Ha
1331,14,3.373
1332,35,15.953
1334,33,3.913
1337,93,68.434
1340,3,2.012
1341,67,3.533
1342,4,2.382
1343,45,2.052
1345,43,4.013
1348,49,4.684
1351,42,2.342
1355,13,4.363
1359,72,8.397
1361,18,4.734
1362,16,10.748
1363,16,5.284
1368,26,7.626
1369,47,3.703
1370,90,81.023
1371,33,13.11
1373,5,13.17
1374,78,10.078
1375,54,2.502
1377,1,8.086
1378,29,6.835
1379,17,2.512
1380,46,7.056
1382,33,13.12
1383,45,2.652
1384,97,11.659
1386,25,36.549
1388,59,5.714
1389,1,9.217
1391,62,5.504
1392,2,5.514
1393,3,6.085
1394,1,5.134
1395,49,4.063
1396,29,3.202
1397,2,5.134
1398,110,6.975
1399,55,4.954
1400,4,2.912
1401,47,4.804
1402,89,7.276
1404,23,2.222
1405,54,3.333
1406,86,7.576
1407,165,23.928
1408,74,3.503
1409,114,12.75
1410,85,28.522
1411,140,38.269
1412,23,2.702
1414,54,6.935
1415,24,2.782
1416,1,2.152
1417,6,2.052
1418,40,22.597
1419,15,16.092
1420,57,3.573
1422,8,2.492
1426,1,8.667
1427,1,2.972
1428,1,7.266
1431,6,3.793
1433,68,11.139
1434,24,3.953
1435,23,18.544
1436,132,10.868
1437,24,6.125
1438,70,21.557
1439,138,6.755
1440,62,2.492
1441,152,43.003
1442,163,4.313
1443,83,12.299
1445,2,3.743
1446,2,3.423
1447,9,5.454
1448,2,17.263
1450,7,7.025
1451,40,2.082
1453,1,7.906
1454,43,11.499
1458,99,3.733
1459,40,4.604
1462,40,3.263
1463,61,7.456
1464,61,4.433
1465,2,5.184
1466,40,2.222
1470,97,2.112
1471,20,3.303
1472,156,19.445
1473,5,11.659
1474,55,3.162
1475,1,5.334
1476,1,4.123
1477,1,3.333
1478,73,2.572
1479,63,6.105
1480,116,14.851
1481,172,6.395
1482,156,7.986
1485,97,6.935
1486,32,2.102
1496,49,6.405
1497,17,5.814
1498,1,2.972
1499,24,3.983
1500,61,5.504
1502,2,5.534
1504,16,2.372
1505,6,2.472
1506,24,3.403
1509,47,4.003
1510,69,2.322
1511,2,5.634
1512,28,2.372
1513,1,2.122
1518,37,3.142
1519,1,3.042
1521,80,34.817
1522,5,2.782
1524,1,4.734
1525,2,4.463
1526,34,10.108
1527,1,5.144
1529,16,2.512
1530,28,10.147
1532,49,2.202
1535,2,5.284
1536,33,46.547
1537,22,3.153
1542,41,8.096
1544,3,2.132
1546,1,8.477
1549,1,3.163
1552,1,10.028
1555,19,44.005
1559,9,6.075
1560,35,5.624
1565,46,8.577
1569,100,12.63
1570,11,3.973
1574,2,9.498
1575,70,12.63
1576,53,4.213
1577,9,8.657
1578,14,8.277
1579,97,11.019
1592,66,4.414
1599,1,5.855
1600,119,2.152
1601,136,7.266
1606,18,26.731
1609,3,6.645
1610,148,9.057
1611,66,3.203
1615,91,12.27
1619,1,2.262
1620,2,2.482
1621,1,4.714
1626,39,12.51
1627,76,2.892
1630,38,2.492
1634,3,2.152
1635,70,5.234
1639,22,2.432
1640,25,2.852
1645,128,13.19
1647,48,4.003
1648,1,2.342
1652,2,4.824
1653,8,7.056
1654,2,3.813
1655,86,2.712
1656,4,5.885
1657,77,8.927
1660,61,2.992
1668,7,11.309
1669,131,10.058
1671,59,3.563
1674,167,2.672
1675,102,3.653
1676,48,3.403
1679,132,4.484
1680,65,6.335
1683,2,8.797
1687,55,4.594
1692,62,2.012
1694,134,156.984
1695,1,6.855
1696,3,8.727
1699,34,29.513
1701,24,2.862
1703,84,10.308
1707,14,4.794
1708,25,2.022
1720,57,7.536
1726,20,18.815
1729,17,6.265
1730,7,11.209
1733,27,4.263
1734,19,2.412
1739,17,3.463
1740,1,5.574
1743,3,3.773
1744,31,26.991
1751,17,7.816
1752,1,5.544
1760,72,2.182
1763,90,5.204
1767,22,2.662
1770,63,2.172
1772,71,4.253
1778,10,2.322
1784,15,11.429
1789,34,4.243
1796,28,4.003
1798,9,3.353
1802,3,2.672
1804,67,6.895
1805,90,15.002
1808,24,3.112
1810,27,27.112
1811,7,10.278
1812,4,2.742
1813,52,6.695
1814,175,53.831
1817,158,42.623
1818,4,7.306
1820,2,6.675
1821,36,5.865
1824,5,17.634
1825,26,2.562
1832,122,5.164
1833,135,13.35
1834,116,2.992
1836,25,4.163
1842,30,16.233
1845,79,9.988
1846,35,3.723
1847,1,3.423
1850,77,2.822
1851,3,36.658
1852,5,2.832
1856,19,4.403
1857,24,4.694
1861,63,4.053
1862,32,9.077
1863,6,4.984
1865,29,4.083
1867,14,2.082
1868,1,3.583
1870,11,11.068
1873,1,2.592
1874,47,3.202
1876,15,3.503
1880,2,5.904
1881,24,4.814
1888,5,2.162
1890,31,2.802
1891,46,12.099
1893,1,4.033
1894,71,9.497
1895,37,4.273
1896,16,2.262
1897,14,18.323
1899,12,5.334
1902,31,5.824
1905,40,3.533
1906,81,3.413
1908,2,5.444
1913,34,43.342
1914,33,2.752
1915,44,2.872
1916,31,3.673
1918,54,2.372
1924,54,3.333
1925,45,7.526
1926,59,3.583
1928,5,4.934
1929,36,5.814
1931,1,3.473
1932,53,6.595
1933,5,4.453
1935,51,3.633
1936,22,18.624
1940,4,3.813
1942,27,5.284
1943,79,2.552
1944,35,11.579
1945,38,5.554
1946,1,29.133
1948,114,4.614
1949,3,8.757
1950,71,7.516
1953,34,17.254
1956,118,4.634
1958,1,2.812
1960,29,5.354
1962,25,10.228
1964,34,9.788
1965,30,2.452
1966,62,3.133
1968,19,14.632
1976,21,5.284
1979,20,2.602
1982,4,4.464
1983,49,2.892
1986,15,5.114
1987,1,2.532
1991,55,13.921
1992,1,4.864
1993,9,18.155
1996,25,5.284
1998,40,6.275
2002,8,11.459
2003,43,2.602
2006,16,7.246
2010,13,2.302
2013,28,9.878
2017,47,37.89
2020,20,2.342
2021,1,2.782
2027,28,3.853
2031,100,5.234
2033,176,20.887
2038,35,2.532
2042,15,4.914
2051,43,5.975
2055,33,5.905
2056,13,5.905
2062,124,10.889
2063,1,5.174
2064,47,5.675
2066,90,20.186
2067,29,7.266
2071,47,9.067
2073,15,10.098
2075,90,19.596
2076,55,17.104
2084,1,6.515
2086,14,2.672
2088,1,2.512
2094,16,13.621
2095,29,2.932
2100,100,18.825
2102,125,2.572
2104,16,22.228
2106,150,11.399
2110,91,13.961
2111,55,16.483
2123,30,8.757
2124,6,3.112
2132,1,8.227
2134,20,3.163
2139,18,2.262
2145,65,10.438
2146,77,13.01
2148,90,3.733
2157,25,9.528
2158,14,6.135
2161,16,5.104
2165,83,16.073
2167,35,8.927
2168,82,30.584
2171,63,4.213
2172,20,3.513
2173,29,2.812
2179,14,2.142
2182,50,7.546
2185,42,22.518
2188,75,8.687
2190,20,2.152
2201,31,103.743
2212,18,29.323
2213,12,2.462
2214,33,2.232
2216,20,29.343
2217,82,31.075
2222,8,7.716
2223,1,3.943
2224,124,43.004
2227,28,5.725
2228,78,11.709
2229,135,73.018
2234,145,63.941
2238,8,4.373
2239,76,28.132
2241,24,7.096
2242,29,3.483
2244,85,23.579
2245,45,4.243
2249,14,18.084
2256,31,3.963
2259,226,76.241
2264,55,8.026
2274,44,10.729
2275,90,32.976
2276,118,53.493
2284,33,13.05
2289,1,27.072
2290,4,49.349
2296,87,23.499
2299,1,2.112
2301,35,22.908
2304,1,9.428
2307,9,49.57
2309,78,32.546
2310,23,2.712
2311,2,3.283
2314,55,5.494
2316,18,2.432
2320,11,9.658
2324,3,8.927
2325,29,15.983
2327,2,3.793
2329,66,51.791
2330,20,2.852
2338,36,13.241
2343,22,6.055
2351,78,3.713
2352,44,5.054
2353,30,4.754
2354,9,5.685
2356,53,22.068
2359,4,3.583
2360,3,2.222
2362,4,17.084
2366,69,7.856
2367,55,8.417
2368,2,8.787
2369,62,19.506
2370,16,2.842
2371,44,7.726
2374,5,10.508
2375,4,2.032
2380,45,46.507
2382,4,2.342
2389,16,7.386
2391,85,39.732
2392,41,2.892
2397,23,12.05
2399,31,59.878
2401,1,4.744
2402,5,5.144
2403,7,12.5
2408,4,2.282
2409,62,31.455
2413,22,9.017
2414,27,12.2
2417,101,7.226
2419,13,4.664
2431,49,7.506
2432,19,10.659
2433,55,2.122
2434,100,25.22
2435,1,5.224
2437,35,8.627
2440,1,14.091
2442,45,10.899
2444,22,11.749
2445,30,2.042
2449,46,19.305
2450,15,6.115
2452,19,8.096
2456,23,6.085
2458,89,3.573
2459,111,7.476
2461,40,2.132
2462,197,8.287
2466,38,29.183
2467,42,3.863
2468,17,4.003
2469,14,2.042
2470,5,2.282
2471,27,2.452
2473,64,23.989
2476,15,3.583
2477,2,5.645
2478,44,2.702
2482,28,3.753
2487,118,6.685
2488,35,4.974
2494,2,5.244
2498,36,2.372
2501,1,2.242
2507,115,11.339
2508,86,2.092
2509,40,2.202
2512,2,6.725
2514,115,10.168
2522,70,15.442
2523,17,11.579
2526,55,2.472
2532,38,7.056
2534,80,3.343
2535,79,2.172
2545,33,3.563
2550,57,3.183
2558,23,22.838
2560,84,48.429
2564,24,9.247
2571,19,14.061
2572,100,32.726
2575,40,16.954
2577,1,35.568
2578,8,2.642
2585,105,23.429
2587,122,2.612
2588,157,4.874
2589,45,2.422
2590,52,9.868
2592,3,21.167
2598,61,23.028
2600,32,2.802
2604,14,2.572
2611,144,37.27
2612,42,9.648
2622,38,3.863
2623,1,7.616
2624,46,4.394
2625,72,6.435
2626,16,6.705
2629,42,7.106
2632,1,11.149
2637,1,6.225
2638,95,5.204
2643,14,20.626
2646,31,2.852
2647,36,10.769
2648,25,11.319
2650,54,2.122
2652,2,3.333
2655,91,13.901
2658,38,22.028
2660,109,3.163
2661,85,7.226
2662,29,9.007
2666,67,12.9
2667,12,11.859
2668,1,8.917
2669,110,7.416
2671,30,3.183
2672,114,4.353
2673,132,5.785
2674,10,5.825
2675,71,4.103
2676,2,8.227
2677,70,5.915
2678,86,3.663
2679,50,3.743
2680,28,28.403
2682,38,44.886
2688,11,39.922
2691,299,191.763
2692,6,42.544
2693,1,10.979
2694,12,5.324
2695,7,3.183
2696,34,3.303
2697,46,3.203
2699,45,5.685
2706,12,3.873
2707,3,3.793
2708,36,4.964
2713,16,2.542
2715,16,2.522
2716,47,4.133
2717,17,2.142
2722,11,5.554
2724,9,28.022
2731,9,2.932
2733,97,17.344
2735,88,54.513
2741,5,9.728
2743,34,2.522
2745,49,3.633
2749,39,4.804
2750,22,2.742
2752,37,6.205
2757,25,3.563
2761,17,5.464
2763,1,19.526
2764,1,2.702
2765,35,22.068
2766,30,22.288
2768,46,3.283
2769,76,9.528
2770,14,2.992
2771,7,4.313
2773,24,16.783
2774,20,10.258
2775,40,5.915
2776,3,4.163
2779,33,2.162
2780,85,2.222
2781,1,3.343
2783,70,26.821
2787,65,4.373
2789,85,30.935
2792,83,5.544
2794,28,6.035
2800,1,4.804
2804,24,6.896
2808,6,40.502
2810,4,14.862
2815,41,3.273
2816,34,2.822
2817,38,4.073
2819,5,5.344
2824,80,4.614
2832,30,2.292
2835,45,2.952
2836,19,8.907
2840,53,2.362
2842,57,10.699
2843,24,2.552
2844,4,3.493
2850,16,9.117
2851,106,3.263
2852,69,7.476
2856,49,3.002
2859,23,5.334
2860,87,17.003
2861,5,2.202
2862,6,4.013
2863,1,7.226
2864,5,4.644
